;=== Measured signals to be read - MASTU diagnostics ===
VFXU07    VM  none      5  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_XU_07     - ; for VS5U and VS6U
VFP5U01   VM  none      6  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_P5U_01    - ; for VS7U
VFP5L01   VM  none      7  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_P5L_01    - ; for VS7L
;;;;VFXL05    VM  none      8  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_XL_05     - ; for VS6L and VS5L ; not available, try using XL_04
VFXL04    VM  none      8  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_XL_04     - ; for VS6L and VS5L ; not available, try using XL_04
VFD3L03   VM  none      9  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_D3L_03    - ; for VS4L 
VFD1L04   VM  none     10  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_D1L_04    - ; for VS3L and D1CL
VFCB12    VM  none     11  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_C_B12     - ; for VS2L
VFCB08    VM  none     12  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_C_B08     - ; for VS1L
VFNUB05   VM  none     13  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_NU_B05    - ; for PSPU
VFBU03    VM  none     14  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_BU_03     - ; for GBU
VFBL03    VM  none     15  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_BL_03     - ; for GBL
VFNLB05   VM  none     16  o  y  0.020  0.80     0.10     y  1.0        1.0 1.0 -1  5.0e-2   AMB/LOOPV/LV_NL_B05    - ; for PSPL
;
;
; Mirnov coils
;
B_C1_P01  MC  bmc       1  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P01    - ; (T) 
B_C1_P03  MC  bmc       2  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P03    - ; (T) 
B_C1_P05  MC  bmc       3  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P05    - ; (T) 
B_C1_P07  MC  bmc       4  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P07    - ; (T) 
B_C1_P09  MC  bmc       5  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P09    - ; (T) 
B_C1_P10  MC  bmc       6  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P10    - ; (T) 
B_C1_P12  MC  bmc       7  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P12    - ; (T) 
B_C1_P14  MC  bmc       8  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P14    - ; (T) 
B_C1_P15  MC  bmc       9  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P15    - ; (T) 
B_C1_P16  MC  bmc      10  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P16    - ; (T) 
B_C1_P18  MC  bmc      11  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P18    - ; (T)
B_C1_P20  MC  bmc      12  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P20    - ; (T) 
B_C1_P22  MC  bmc      13  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P22    - ; (T) 
B_C1_P23  MC  bmc      14  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P23    - ; (T) 
B_C1_P25  MC  bmc      15  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P25    - ; (T) 
B_C1_P27  MC  bmc      16  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P27    - ; (T) 
B_C1_P28  MC  bmc      17  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P28    - ; (T) 
B_C1_P30  MC  bmc      18  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P30    - ; (T) 
B_C1_P32  MC  bmc      19  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P32    - ; (T) 
B_C1_P33  MC  bmc      20  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P33    - ; (T) 
B_C1_P35  MC  bmc      21  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P35    - ; (T) 
B_C1_P37  MC  bmc      22  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P37    - ; (T) 
B_C1_P39  MC  bmc      23  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P39    - ; (T) 
B_C1_P40  MC  bmc      24  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P40    - ; (T) 
B_C1_P41  MC  bmc      25  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P41    - ; (T) 
B_C1_P43  MC  bmc      26  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P43    - ; (T) 
B_C1_P45  MC  bmc      27  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P45    - ; (T) 
B_C1_P46  MC  bmc      28  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P46    - ; (T)
B_C1_P48  MC  bmc      29  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P48    - ; (T) 
B_C1_P50  MC  bmc      30  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P50    - ; (T)
B_C1_P52  MC  bmc      31  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P52    - ; (T) 
B_C1_P54  MC  bmc      32  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C1_P54    - ; (T) 
B_C2_P01  MC  bmc      33  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P01    - ; (T) 
B_C2_P03  MC  bmc      34  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P03    - ; (T) 
B_C2_P05  MC  bmc      35  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P05    - ; (T) 
B_C2_P07  MC  bmc      36  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P07    - ; (T) 
B_C2_P09  MC  bmc      37  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P09    - ; (T) 
B_C2_P10  MC  bmc      38  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P10    - ; (T) 
B_C2_P12  MC  bmc      39  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P12    - ; (T) 
B_C2_P14  MC  bmc      40  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P14    - ; (T) 
B_C2_P15  MC  bmc      41  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P15    - ; (T) 
B_C2_P16  MC  bmc      42  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P16    - ; (T) 
B_C2_P18  MC  bmc      43  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P18    - ; (T) 
B_C2_P20  MC  bmc      44  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P20    - ; (T) 
B_C2_P22  MC  bmc      45  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P22    - ; (T) 
B_C2_P23  MC  bmc      46  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P23    - ; (T) 
B_C2_P25  MC  bmc      47  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P25    - ; (T) 
B_C2_P27  MC  bmc      48  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P27    - ; (T)
B_C2_P28  MC  bmc      49  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P28    - ; (T)
B_C2_P30  MC  bmc      50  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P30    - ; (T)
B_C2_P32  MC  bmc      51  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P32    - ; (T) 
B_C2_P33  MC  bmc      52  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P33    - ; (T) 
B_C2_P35  MC  bmc      53  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P35    - ; (T) 
B_C2_P37  MC  bmc      54  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P37    - ; (T)
B_C2_P39  MC  bmc      55  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P39    - ; (T) 
B_C2_P40  MC  bmc      56  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P40    - ; (T) 
B_C2_P41  MC  bmc      57  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P41    - ; (T) 
B_C2_P43  MC  bmc      58  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P43    - ; (T) 
B_C2_P45  MC  bmc      59  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P45    - ; (T) 
B_C2_P46  MC  bmc      60  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P46    - ; (T) 
B_C2_P48  MC  bmc      61  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P48    - ; (T) 
B_C2_P50  MC  bmc      62  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P50    - ; (T)
B_C2_P52  MC  bmc      63  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P52    - ; (T) 
B_C2_P54  MC  bmc      64  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_C2_P54    - ; (T) 
B_XU1_N01 MC  bmc      65  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N01   - ; (T)
B_XU1_P02 MC  bmc      66  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P02   - ; (T)
B_XU1_N03 MC  bmc      67  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N03   - ; (T)
B_XU1_P04 MC  bmc      68  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P04   - ; (T)
B_XU1_N05 MC  bmc      69  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N05   - ; (T)
B_XU1_P06 MC  bmc      70  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P06   - ; (T)
B_XU1_N07 MC  bmc      71  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N07   - ; (T)
B_XU1_P08 MC  bmc      72  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P08   - ; (T)
B_XU1_N09 MC  bmc      73  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N09   - ; (T)
B_XU1_P10 MC  bmc      74  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P10   - ; (T) Removed, 11/15/22
B_XU1_N11 MC  bmc      75  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N11   - ; (T)
B_XU1_P12 MC  bmc      76  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P12   - ; (T)
B_XU1_N13 MC  bmc      77  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N13   - ; (T) Removed, 11/15/22
B_XU1_P14 MC  bmc      78  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P14   - ; (T)
B_XU1_N15 MC  bmc      79  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N15   - ; (T)
B_XU1_P16 MC  bmc      80  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P16   - ; (T) Removed, 11/15/22
B_XU1_N17 MC  bmc      81  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N17   - ; (T)
B_XU1_P18 MC  bmc      82  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P18   - ; (T)
B_XU1_P19 MC  bmc      83  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P19   - ; (T)
B_XU1_N20 MC  bmc      84  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N20   - ; (T)
B_XU1_P21 MC  bmc      85  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P21   - ; (T)
B_XU1_N22 MC  bmc      86  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N22   - ; (T)
B_XU1_P23 MC  bmc      87  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P23   - ; (T)
B_XU1_N24 MC  bmc      88  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N24   - ; (T)
B_XU1_N25 MC  bmc      89  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N25   - ; (T)
B_XU1_P26 MC  bmc      90  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P26   - ; (T)
B_XU1_N27 MC  bmc      91  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N27   - ; (T) Removed, 11/15/22
B_XU1_P28 MC  bmc      92  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P28   - ; (T) Removed, 11/15/22
B_XU1_N29 MC  bmc      93  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N29   - ; (T)
B_XU1_P30 MC  bmc      94  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P30   - ; (T)
B_XU1_N31 MC  bmc      95  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N31   - ; (T)
B_XU1_P32 MC  bmc      96  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P32   - ; (T)
B_XU1_N33 MC  bmc      97  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N33   - ; (T) Removed, 11/15/22
B_XU1_P34 MC  bmc      98  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P34   - ; (T)
B_XU1_N35 MC  bmc      99  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_N35   - ; (T)
B_XU1_P36 MC  bmc     100  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU1_P36   - ; (T)
B_XU2_N01 MC  bmc     101  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N01   - ; (T)
B_XU2_P02 MC  bmc     102  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P02   - ; (T)
B_XU2_N03 MC  bmc     103  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N03   - ; (T)
B_XU2_P04 MC  bmc     104  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P04   - ; (T) 
B_XU2_N05 MC  bmc     105  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N05   - ; (T) 
B_XU2_P06 MC  bmc     106  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P06   - ; (T)
B_XU2_N07 MC  bmc     107  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N07   - ; (T)
B_XU2_P08 MC  bmc     108  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P08   - ; (T)
B_XU2_N09 MC  bmc     109  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N09   - ; (T)
B_XU2_P10 MC  bmc     110  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P10   - ; (T) 
B_XU2_N11 MC  bmc     111  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N11   - ; (T) Removed, 11/15/22
B_XU2_P12 MC  bmc     112  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P12   - ; (T) Removed, 11/15/22 
B_XU2_N13 MC  bmc     113  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N13   - ; (T)
B_XU2_P14 MC  bmc     114  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P14   - ; (T)
B_XU2_N15 MC  bmc     115  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N15   - ; (T) Removed, 11/15/22
B_XU2_P16 MC  bmc     116  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P16   - ; (T)
B_XU2_N17 MC  bmc     117  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N17   - ; (T)
B_XU2_P18 MC  bmc     118  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P18   - ; (T) 
B_XU2_P19 MC  bmc     119  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P19   - ; (T) 
B_XU2_N20 MC  bmc     120  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N20   - ; (T)
B_XU2_P21 MC  bmc     121  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P21   - ; (T)
B_XU2_N22 MC  bmc     122  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N22   - ; (T) 
B_XU2_P23 MC  bmc     123  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P23   - ; (T)
B_XU2_N24 MC  bmc     124  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N24   - ; (T)
B_XU2_N25 MC  bmc     125  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N25   - ; (T)
B_XU2_P26 MC  bmc     126  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P26   - ; (T)
B_XU2_N27 MC  bmc     127  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N27   - ; (T)
B_XU2_P28 MC  bmc     128  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P28   - ; (T)
B_XU2_N29 MC  bmc     129  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N29   - ; (T)
B_XU2_P30 MC  bmc     130  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P30   - ; (T)
B_XU2_N31 MC  bmc     131  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N31   - ; (T)
B_XU2_P32 MC  bmc     132  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P32   - ; (T)
B_XU2_N33 MC  bmc     133  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N33   - ; (T) 
B_XU2_P34 MC  bmc     134  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P34   - ; (T)
B_XU2_N35 MC  bmc     135  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_N35   - ; (T) Removed, 11/15/22
B_XU2_P36 MC  bmc     136  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XU2_P36   - ; (T) 
B_XL1_N01 MC  bmc     137  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N01   - ; (T)
B_XL1_P02 MC  bmc     138  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P02   - ; (T)
B_XL1_N03 MC  bmc     139  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N03   - ; (T)
B_XL1_P04 MC  bmc     140  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P04   - ; (T)
B_XL1_N05 MC  bmc     141  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N05   - ; (T)
B_XL1_P06 MC  bmc     142  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P06   - ; (T)
B_XL1_N07 MC  bmc     143  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N07   - ; (T)
B_XL1_P08 MC  bmc     144  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P08   - ; (T)
